,unitID,College,White,Black,Hispanic,Asian,AmericanIndianOrAlaskaNative, NativeHawaiianOrPacificIslander,TwoOrMoreRaces,NonResidentAliens,RaceUnknown,Female,Dependent_30k,Dependent_30_110K,Dependent_110k,Independent_30k,Independent_30_110k,Independent_110k,lwr800,btwn800_1000,btwn1000_1200,btwn1200_1400,gtr1400,Rural,TownRemote,TownDistant,SmallSuburb,LargeSuburb,SmallCity,MidCity,LargeCity,FarWest,GreatLakes,MidEast,NewEngland,Plains,RockyMountains,SouthEast,SouthWest,mn_earn_wne_p6,Latitude,Longitude
0,100654,Alabama A & M University,-1.3252899994,0.931437394011,-1.11714110274,-1.46330470698,-0.684028990234,-0.335856973001,-7.48174075231,-2.31166952084,-0.665965579709,-0.037607588406,0.406714966,-0.496205991,-0.186820905,-0.144232457,-6.501148422,-1.005244451,0.297096762955,0.154342363901,-0.0416793574202,-0.318230615557,-0.911072012389,-3.68137561725,-3.85910779647,-3.91797628271,-3.94916718433,-4.10133645612,-4.1484877783,0.397819990925,-4.2069115718,-4.05968222418,-4.10349213291,-4.11258163782,-3.90177864223,-3.95791935059,-3.83490184463,0.305962281824,-4.00478725575,29400,34.7834,-86.5685
1,100663,University of Alabama at Birmingham,0.00631504063382,0.36696784122,-0.654911435387,-0.0913978170818,-0.348237083186,-0.490758746861,0.054817702885,-0.46657362127,-0.476301531759,0.0510299059988,0.07674252,0.068632604,-0.12814426,0.105403793,0.18959191,0.101337882,-0.051970625953,-0.0488738889625,-0.0166601602815,0.0243537866424,0.0734535191815,-3.68137561725,-3.85910779647,-3.91797628271,-3.94916718433,-4.10133645612,-4.1484877783,0.397819990925,-4.2069115718,-4.05968222418,-4.10349213291,-4.11258163782,-3.90177864223,-3.95791935059,-3.83490184463,0.305962281824,-4.00478725575,39500,33.5022,-86.8092
2,100706,University of Alabama in Huntsville,0.0749476898039,0.070939374433,-0.537614445057,-0.244626189631,0.398157433993,-1.03482524016,-0.274914849305,-0.0955057768189,-0.0613282043462,-0.0215207356854,0.020481145,0.076185709,-0.186339544,0.207057193,0.41651514,0.169207197,-0.104968575871,-0.0673973420785,-0.0180442545753,0.0385238945082,0.111751570661,-3.68137561725,-3.85910779647,-3.91797628271,-3.94916718433,-4.10133645612,-4.1484877783,0.397819990925,-4.2069115718,-4.05968222418,-4.10349213291,-4.11258163782,-3.90177864223,-3.95791935059,-3.83490184463,0.305962281824,-4.00478725575,41200,34.7228,-86.6384
3,100724,Alabama State University,-1.56406831523,0.921449984006,-1.00962626875,-1.62963603663,-0.808967606205,-0.490758746861,-0.675560710469,-0.296731321532,-0.450365799601,-0.00600858439761,0.403282402,-0.486471883,-0.225888911,-0.04148185,-6.501148422,-1.124949554,0.290262304998,0.137674622296,-0.0384201190362,-0.279045084588,-0.803898462079,-3.68137561725,-3.85910779647,-3.91797628271,-3.94916718433,-4.10133645612,-4.1484877783,0.397819990925,-4.2069115718,-4.05968222418,-4.10349213291,-4.11258163782,-3.90177864223,-3.95791935059,-3.83490184463,0.305962281824,-4.00478725575,24100,32.3643,-86.2957
4,100751,The University of Alabama,0.124804509274,0.0105729306081,-0.570986806762,-0.756509523765,-0.119757823004,-0.294464327324,-0.159521436897,-0.168656876429,-1.14308673103,-0.0136954057516,-0.029623243,0.50080891,-0.093848298,-0.201538787,0.150700592,-0.106900651,-0.111399758533,-0.0526925676899,-0.001788930047,0.0495682797019,0.0912032823012,-3.68137561725,-3.85910779647,-3.91797628271,-3.94916718433,-4.10133645612,0.351512221922,-4.10218000929,-4.2069115718,-4.05968222418,-4.10349213291,-4.11258163782,-3.90177864223,-3.95791935059,-3.83490184463,0.305962281824,-4.00478725575,38800,33.2144,-87.5458
5,100858,Auburn University,0.160716188634,-0.192633706679,-0.663410619842,-0.477347961383,0.123280183381,-6.3358574073,-7.48174075231,-0.74346990955,-0.48644116232,-0.071687346015,-0.016572543,-7.918391193,0.178175729,-0.357685934,-6.501148422,-0.641714567,-0.163097871683,-0.0901636039824,-0.022610163612,0.050531999317,0.150024574137,-3.68137561725,-3.85910779647,-3.91797628271,-3.94916718433,-4.10133645612,0.351512221922,-4.10218000929,-4.2069115718,-4.05968222418,-4.10349213291,-4.11258163782,-3.90177864223,-3.95791935059,-3.83490184463,0.305962281824,-4.00478725575,44000,32.6002,-85.4924
6,100937,Birmingham Southern College,0.137751621206,-0.0732040663182,-0.582231304597,-0.214662967049,0.245389616146,-6.3358574073,-0.600927102887,-7.61270168797,-0.660825940665,-0.00600858439761,-0.029579297,0.542656189,0.012847161,-0.762734893,-6.501148422,-7.825369705,-0.100573790778,-0.0654336174023,-0.0174907597414,0.037667208688,0.108216126627,-3.68137561725,-3.85910779647,-3.91797628271,-3.94916718433,-4.10133645612,-4.1484877783,0.397819990925,-4.2069115718,-4.05968222418,-4.10349213291,-4.11258163782,-3.90177864223,-3.95791935059,-3.83490184463,0.305962281824,-4.00478725575,37300,33.5155,-86.8536
7,101435,Huntingdon College,-0.00410970199638,0.236516680561,-0.765501140805,-0.846686145165,0.042969443649,-0.0805846609175,-0.0455780893624,-1.18133776296,0.603991834028,-0.0629134301777,0.044850936,-7.918391193,0.032245884,0.000446165,-6.501148422,0.145007833,0.0717102897434,0.101611681309,0.0656260684315,-0.0145175741126,-0.291492154068,-3.68137561725,-3.85910779647,-3.91797628271,-3.94916718433,-4.10133645612,-4.1484877783,0.397819990925,-4.2069115718,-4.05968222418,-4.10349213291,-4.11258163782,-3.90177864223,-3.95791935059,-3.83490184463,0.305962281824,-4.00478725575,31400,32.3509,-86.2853
8,101480,Jacksonville State University,0.052253842226,0.373293438002,-0.942679484562,-1.08145163367,0.000217470247941,-0.557705433088,-7.48174075231,-0.268309394633,-0.199309792715,0.00154454643269,0.1476942,-0.081478647,-0.114581763,0.016708795,0.185775745,0.154364049,0.0327640280285,0.06673437253,0.0550837348469,0.013502311383,-0.17764168678,-3.68137561725,-3.85910779647,-3.91797628271,-3.94916718433,-4.10133645612,0.351512221922,-4.10218000929,-4.2069115718,-4.05968222418,-4.10349213291,-4.11258163782,-3.90177864223,-3.95791935059,-3.83490184463,0.305962281824,-4.00478725575,32200,33.8221,-85.7666
9,101541,Judson College,0.12755670151,0.115036080692,-0.887554182129,-0.846686145165,-0.286089198709,-6.3358574073,-0.703589429545,-0.653660247924,-0.265962441592,0.224888312141,0.153587644,-7.918391193,-0.045247687,0.059983838,-6.501148422,0.101883164,0.111514334988,-0.00647579803876,-0.0316254344858,-0.0434528285808,-0.0766908271336,0.818624382966,-3.85910779647,-3.91797628271,-3.94916718433,-4.10133645612,-4.1484877783,-4.10218000929,-4.2069115718,-4.05968222418,-4.10349213291,-4.11258163782,-3.90177864223,-3.95791935059,-3.83490184463,0.305962281824,-4.00478725575,27900,32.6305,-87.3161
10,101693,University of Mobile,0.0394055234751,0.288121828624,-0.980171291911,-0.828003934207,0.448977032854,-0.490758746861,-0.251291805386,-0.126980247295,0.122404792571,0.0706254825307,-0.009907191,-7.918391193,-0.036264224,0.201811892,-6.501148422,0.165550641,0.0392451342648,0.0182990510313,0.0138763841178,0.00434987557236,-0.0764591947884,0.818624382966,-3.85910779647,-3.91797628271,-3.94916718433,-4.10133645612,-4.1484877783,-4.10218000929,-4.2069115718,-4.05968222418,-4.10349213291,-4.11258163782,-3.90177864223,-3.95791935059,-3.83490184463,0.305962281824,-4.00478725575,36500,30.7932,-88.1289
11,101709,University of Montevallo,0.096455399541,0.0991752499782,-0.704803303283,-0.992814161754,0.0756385554851,-0.294464327324,-0.226468223081,-0.485596857195,0.145353990209,0.0769656544837,0.099826621,-7.918391193,0.062746275,-0.04963215,-6.501148422,-0.194956587,0.0321984680605,0.00405424228883,0.00419118368407,0.00442536143499,-0.0457542840722,-3.68137561725,-3.85910779647,-3.91797628271,-3.94916718433,0.398663544097,-4.1484877783,-4.10218000929,-4.2069115718,-4.05968222418,-4.10349213291,-4.11258163782,-3.90177864223,-3.95791935059,-3.83490184463,0.305962281824,-4.00478725575,30800,33.1063,-86.8651
12,101879,University of North Alabama,0.0834118241712,0.0948041687207,-0.675596033426,-1.22594387431,0.286007463253,-0.294464327324,-0.163677396469,0.0819035197379,-0.0363618786978,-0.0215207356854,0.132184706,0.016148825,-0.052325673,-0.04230335,0.113245402,-0.080642201,0.0476402714872,0.0671467076492,0.0499582807781,0.00492125480532,-0.186877480684,-3.68137561725,-3.85910779647,-3.91797628271,-3.94916718433,-4.10133645612,0.351512221922,-4.10218000929,-4.2069115718,-4.05968222418,-4.10349213291,-4.11258163782,-3.90177864223,-3.95791935059,-3.83490184463,0.305962281824,-4.00478725575,33100,34.8066,-87.681
13,101912,Oakwood University,-1.7622940039,0.882831459178,-0.691782793848,-1.60160733112,-0.183426887289,-6.3358574073,-7.48174075231,0.301112169711,-0.126351913563,-0.0136954057516,0.102534104,0.082564355,-0.056684801,0.010001881,-6.501148422,-0.130243032,0.179718261708,0.116553331076,0.0265142295426,-0.106474830875,-0.454842144004,-3.68137561725,-3.85910779647,-3.91797628271,-3.94916718433,-4.10133645612,-4.1484877783,0.397819990925,-4.2069115718,-4.05968222418,-4.10349213291,-4.11258163782,-3.90177864223,-3.95791935059,-3.83490184463,0.305962281824,-4.00478725575,30300,34.7566,-86.6616
14,102049,Samford University,0.138340785666,-0.224163838629,-0.244363072275,-0.902637543932,-0.286089198709,-0.490758746861,-0.481740708882,-0.129828090075,-1.02204307603,0.0510299059988,-0.178472695,-7.918391193,0.188020335,-0.229601014,-6.501148422,-0.244632405,-0.074914433667,-0.0456424565809,-0.0064619582179,0.0366406407046,0.0739938704394,-3.68137561725,-3.85910779647,-3.91797628271,-3.94916718433,0.398663544097,-4.1484877783,-4.10218000929,-4.2069115718,-4.05968222418,-4.10349213291,-4.11258163782,-3.90177864223,-3.95791935059,-3.83490184463,0.305962281824,-4.00478725575,41000,33.4646,-86.7909
15,102094,University of South Alabama,0.0335178415818,0.313503559698,-0.675596033426,-0.278097671453,0.181272123308,-0.0805846609175,-0.127632293947,-0.15938333263,-0.453524318616,0.0510299059988,0.125451324,0.049843534,-0.118678942,0.069920021,0.146669161,0.004787991,-0.00235656915346,0.0460411150284,0.0511155954083,0.0313757650558,-0.114685302475,-3.68137561725,-3.85910779647,-3.91797628271,-3.94916718433,-4.10133645612,-4.1484877783,0.397819990925,-4.2069115718,-4.05968222418,-4.10349213291,-4.11258163782,-3.90177864223,-3.95791935059,-3.83490184463,0.305962281824,-4.00478725575,36300,30.6951,-88.1819
16,102234,Spring Hill College,0.0514700348581,0.159954122575,-0.124523100198,-0.954469175324,0.0361300201959,-6.3358574073,-0.108828730939,-0.485596857195,-0.0220431816681,0.0893749008231,-8.328546134,0.408967744,0.179405323,-8.216603704,-6.501148422,0.067420331,-0.0195189679915,-0.00168611014164,0.0162209719403,0.0290245159773,-0.0140131258425,-3.68137561725,-3.85910779647,-3.91797628271,-3.94916718433,-4.10133645612,-4.1484877783,0.397819990925,-4.2069115718,-4.05968222418,-4.10349213291,-4.11258163782,-3.90177864223,-3.95791935059,-3.83490184463,0.305962281824,-4.00478725575,36700,30.6948,-88.1382
17,102270,Stillman College,-0.974319878089,0.918587370219,-1.04949777713,-1.44399956037,-6.76321059819,-6.3358574073,-7.48174075231,-7.61270168797,-1.22851689263,-0.128414971569,-8.328546134,-0.428787233,0.244102127,-8.216603704,-6.501148422,0.33838067,0.21732995541,0.177364697099,0.0297164903136,-0.207279033926,-0.764987334612,-3.68137561725,-3.85910779647,-3.91797628271,-3.94916718433,-4.10133645612,0.351512221922,-4.10218000929,-4.2069115718,-4.05968222418,-4.10349213291,-4.11258163782,-3.90177864223,-3.95791935059,-3.83490184463,0.305962281824,-4.00478725575,25100,33.1992,-87.5852
